"ID (N)","factor (N)","pi (N)","time (S)"
"1","12167","3.141674843118693","2021-05-10 00:23:10"
"2","13824","3.141520315626915","2021-05-10 00:24:10"
"3","15625","3.141656653589722","2021-05-10 00:25:10"
"4","17576","3.1415357578228837","2021-05-10 00:26:10"
"5","19683","3.1416434588531876","2021-05-10 00:27:10"
"6","21952","3.141547099653953","2021-05-10 00:28:10"
"7","24389","3.1416336556808755","2021-05-10 00:29:10"
"8","27000","3.1415556165527665","2021-05-10 00:30:10"
"9","29791","3.1416262207744947","2021-05-10 00:31:10"
"10","32768","3.1415621360116797","2021-05-10 00:32:10"
"11","35937","3.1416204800638963","2021-05-10 00:33:10"
"12","39304","3.141567210886769","2021-05-10 00:34:10"
"13","42875","3.1416159772049452","2021-05-10 00:35:10"
"14","46656","3.1415712201192867","2021-05-10 00:36:10"
"15","50653","3.141612395757074","2021-05-10 00:37:10"
"16","54872","3.1415744293588412","2021-05-10 00:38:10"
"17","59319","3.141609511594793","2021-05-10 00:39:10"
"18","64000","3.141577028589768","2021-05-10 00:40:10"
"19","68921","3.141607162955563","2021-05-10 00:41:10"
"20","74088","3.1415791561272712","2021-05-10 00:42:10"
"21","79507","3.141605231098648","2021-05-10 00:43:10"
"22","85184","3.1415809142959636","2021-05-10 00:44:10"
"23","91125","3.1416036275266306","2021-05-10 00:45:10"
"24","97336","3.141582379898584","2021-05-10 00:46:10"
"25","103823","3.1416022853668917","2021-05-10 00:47:10"
"26","110592","3.1415836113443634","2021-05-10 00:48:10"
"27","117649","3.1416011534494763","2021-05-10 00:49:10"
"28","125000","3.141584653589728","2021-05-10 00:50:10"
"29","132651","3.1416001921684225","2021-05-10 00:51:10"
"30","140608","3.1415855416188876","2021-05-10 00:52:10"
"31","148877","3.141599370544006","2021-05-10 00:53:10"
"32","157464","3.1415863029318056","2021-05-10 00:54:10"
"33","166375","3.141598664108154","2021-05-10 00:55:10"
"34","175616","3.141586959347785","2021-05-10 00:56:10"
"35","185193","3.1415980533619163","2021-05-10 00:57:10"
"36","195112","3.1415875283283916","2021-05-10 00:58:10"
"37","205379","3.141597522636734","2021-05-10 00:59:10"
"38","1","4","2021-05-10 01:00:10"
"39","1","4","2021-05-10 01:01:10"
"40","8","3.017071817071818","2021-05-10 01:02:10"
"41","27","3.1786170109992202","2021-05-10 01:03:10"
"42","64","3.125968606973288","2021-05-10 01:04:10"
"43","125","3.1495925256000317","2021-05-10 01:05:10"
"44","216","3.1369630487667557","2021-05-10 01:06:10"
"45","343","3.1445080992896712","2021-05-10 01:07:10"
"46","512","3.139639530452431","2021-05-10 01:08:10"
"47","729","3.1429643950569854","2021-05-10 01:09:10"
"48","1000","3.140592653839794","2021-05-10 01:10:10"
"49","1331","3.14234396828467","2021-05-10 01:11:10"
"50","1728","3.141013949934539","2021-05-10 01:12:10"
"51","2197","3.142047819701858","2021-05-10 01:13:10"
"52","2744","3.1412282221150143","2021-05-10 01:14:10"
"53","3375","3.14188894987959","2021-05-10 01:15:10"
"54","4096","3.141348512968434","2021-05-10 01:16:10"
"55","4913","3.1417961952119438","2021-05-10 01:17:10"
"56","5832","3.141421185826989","2021-05-10 01:18:10"
"57","6859","3.141738447436511","2021-05-10 01:19:10"
"58","8000","3.141467653590268","2021-05-10 01:20:10"
"59","9261","3.141700633289284","2021-05-10 01:21:10"
"60","10648","3.141498739239878","2021-05-10 01:22:10"
